GraphSIF_BUs,Month,Is_anomolous,top_feature_1,top_feature_2,top_feature_3,top_feature_4,top_feature_5,Hist_average_1,Hist_average_2,Hist_average_3,Hist_average_4,Hist_average_5,Test_hstgm_1,Test_hstgm_2,Test_hstgm_3,Test_hstgm_4,Test_hstgm_5
USBFJ,2021_5,0.0,1_1_2_Total_Amt,1_1_2_Pattern_Count,1_1_1_Pattern_Count,1_2_1_Total_Amt,1_1_1_Total_Amt,0.0,0.0,28.291666666666668,1278.3708267211914,108349.67075856526,8538.390014648438,4.0,61.0,8277.510009765625,181570.39932250977
Bu_Monthly_10_20,2021_5,0.0,2_1_1_Total_Amt,1_1_1_Pattern_Count,2_1_1_Pattern_Count,1_1_1_Total_Amt,1_1_2_Pattern_Count,143686.4555053711,52.208333333333336,0.5,2268303.1746533713,0.5,452831.4296875,31.0,1.0,1257466.762512207,0.0
USBFC,2021_5,0.0,1_1_1_Total_Amt,1_1_1_Pattern_Count,1_2_1_Pattern_Count,1_2_1_Total_Amt,1_1_2_Pattern_Count,244993.93316141763,36.041666666666664,0.16666666666666666,4409.074582417806,0.08333333333333333,712826.7846069336,21.0,0.0,0.0,0.0
CAGCA,2021_5,0.0,1_2_1_Pattern_Count,2_1_2_Pattern_Count,1_1_2_Pattern_Count,1_1_1_Total_Amt,2_1_2_Total_Amt,1.4583333333333333,0.5,2.6666666666666665,17417045.17173131,419201.68163808185,0.0,0.0,6.0,11025500.77911377,0.0
Low_window_Bu,2021_5,0.0,1_1_1_Pattern_Count,1_1_1_Total_Amt,1_1_17_Total_Amt,1_7_1_Pattern_Count,2_1_1_Total_Amt,1.6153846153846154,129708.26491605319,0.0,0.0,0.0,2.0,1628.0,0.0,0.0,0.0
10008,2021_5,0.0,4_4_1_Total_Amt,4_4_1_Pattern_Count,1_1_2_Pattern_Count,5_6_1_Pattern_Count,2_5_2_Pattern_Count,188834.13592274985,0.125,18.208333333333332,0.20833333333333334,0.2916666666666667,2320344.8936157227,1.0,8.0,1.0,1.0
10118,2021_5,0.0,1_1_3_Total_Amt,1_2_1_Pattern_Count,1_1_1_Total_Amt,1_1_1_Pattern_Count,1_2_1_Total_Amt,448632.3754577637,0.8333333333333334,7217092.515309651,11.916666666666666,573953.4955978394,266250.0,1.0,2861246.99810791,12.0,1771786.779296875
Bu_Monthly_0_10,2021_5,0.0,1_1_1_Pattern_Count,1_1_2_Pattern_Count,1_1_1_Total_Amt,1_1_2_Total_Amt,2_1_1_Total_Amt,38.208333333333336,1.9166666666666667,58369762.634202324,11256950.969151815,206090.6864115397,29.0,0.0,10349126.933227539,0.0,351402.25
USBFA,2021_5,0.0,1_1_1_Pattern_Count,1_2_1_Pattern_Count,1_2_1_Total_Amt,1_1_3_Pattern_Count,1_1_3_Total_Amt,30.916666666666668,0.16666666666666666,826.8791681925455,0.4166666666666667,1399.1979166666667,37.0,0.0,0.0,0.0,0.0
Bu_Monthly_20_30,2021_5,0.0,1_1_1_Pattern_Count,1_2_1_Pattern_Count,1_1_1_Total_Amt,1_3_1_Pattern_Count,1_4_1_Pattern_Count,126.29166666666667,2.375,44618124.80155436,1.2083333333333333,0.375,69.0,0.0,27270101.139953613,2.0,0.0
70012,2021_5,0.0,2_1_1_Pattern_Count,2_3_1_Total_Amt,2_3_1_Pattern_Count,1_3_1_Pattern_Count,1_1_1_Total_Amt,5.583333333333333,27801.219563802082,0.125,0.2916666666666667,24475377.612416584,14.0,290235.54931640625,1.0,1.0,29575829.892364502
72061,2021_5,0.0,2_2_1_Pattern_Count,2_2_1_Total_Amt,1_2_1_Pattern_Count,1_1_1_Pattern_Count,1_1_2_Pattern_Count,0.9583333333333334,71883.47173817952,0.9583333333333334,77.875,0.75,0.0,0.0,1.0,56.0,0.0
USBFD,2021_5,0.0,1_2_2_Total_Amt,1_2_2_Pattern_Count,1_2_1_Pattern_Count,1_1_2_Pattern_Count,1_2_1_Total_Amt,131.6208292643229,0.041666666666666664,1.0416666666666667,0.4583333333333333,10677.405448913574,11806.8603515625,1.0,2.0,1.0,1834.8699951171875
10100,2021_5,0.0,1_1_1_Pattern_Count,1_1_1_Total_Amt,1_2_1_Total_Amt,1_2_1_Pattern_Count,2_1_1_Pattern_Count,15.583333333333334,93874.25863265991,175.56375122070312,0.041666666666666664,0.0,19.0,129900.47052001953,0.0,0.0,0.0
10028,2021_5,0.0,1_1_1_Pattern_Count,2_1_1_Total_Amt,1_1_1_Total_Amt,2_1_1_Pattern_Count,1_1_2_Pattern_Count,44.125,671833.2004140218,4193476.9851506553,3.625,0.0,10.0,0.0,3626277.4069519043,0.0,0.0
80200,2021_5,0.0,2_2_1_Pattern_Count,1_1_1_Total_Amt,2_2_1_Total_Amt,1_1_1_Pattern_Count,1_1_2_Pattern_Count,0.7083333333333334,4599094.128265381,92996.61089070638,70.91666666666667,0.5833333333333334,0.0,1690632.8071899414,0.0,61.0,0.0
10508,2021_5,0.0,2_1_1_Pattern_Count,1_2_1_Pattern_Count,1_1_1_Pattern_Count,2_1_1_Total_Amt,1_2_1_Total_Amt,0.5,1.4583333333333333,53.166666666666664,112745.22849782307,23452.770189921062,0.0,1.0,43.0,0.0,18315.76934814453
